period,median,lower90,upper90,date,region
98,3.970923708421172,0.9543651309411669,5.325427379560758,2022 Q1,VIC
99,3.8517730082113557,0.7461469889250567,5.311383311454895,2022 Q2,VIC
100,3.8466657350565905,0.8544643888316731,5.423556059259304,2022 Q3,VIC
101,3.888213220448291,0.7262537914918762,5.4974971293141595,2022 Q4,VIC
102,3.879444671208457,0.5718615904940514,5.57227340857852,2023 Q1,VIC
103,3.903004529455552,0.6072547045363044,5.570430493253335,2023 Q2,VIC
104,4.012564005906699,0.8248563795239453,5.679699345645214,2023 Q3,VIC
105,4.025712362907946,0.7588885674682645,5.752478816411691,2023 Q4,VIC
106,4.013092792880472,0.5398046431478747,5.784175674938098,2024 Q1,VIC
107,3.993314960901919,0.37122874402843065,5.798090699857797,2024 Q2,VIC
108,4.104931476838627,0.43435113329544595,5.944027783917965,2024 Q3,VIC
109,4.116826747649185,0.2738029477914139,5.997527089371417,2024 Q4,VIC
110,4.048805721948625,0.20409579143815346,6.049166181495959,2025 Q1,VIC
1,5.189809825513542,4.518044725210571,5.860655222961494,1997 Q4,QLD
2,4.956255615966258,4.056093908471605,5.832646555470602,1998 Q1,QLD
3,4.714085123192842,3.640378939344361,5.753564669331184,1998 Q2,QLD
4,4.469411619738755,3.2673873215695908,5.654543972916817,1998 Q3,QLD
5,4.256704501440951,2.941333921300799,5.53679824290222,1998 Q4,QLD
6,4.050017603677559,2.6932718537930658,5.43916081421222,1999 Q1,QLD
7,3.808598051645564,2.356360400587002,5.318792839889453,1999 Q2,QLD
8,3.6879769026430784,2.214271648356591,5.23154295630201,1999 Q3,QLD
9,3.597814509054591,2.0914765887473155,5.174195816857126,1999 Q4,QLD
10,3.3961522144140677,1.8198754065500324,5.077023212605737,2000 Q1,QLD
11,3.0342552167987566,1.321437080864887,4.896509287787068,2000 Q2,QLD
12,2.8044766323836336,1.1063606064036795,4.614494484360127,2000 Q3,QLD
13,2.885714818586309,1.2660101747882773,4.592980172306123,2000 Q4,QLD
14,2.846751476367252,1.181346862424573,4.5696294893224865,2001 Q1,QLD
15,2.8122522659297013,1.1208462706276368,4.561198842165822,2001 Q2,QLD
16,2.7351355155625523,1.0021479092958039,4.506082596326847,2001 Q3,QLD
17,2.6424929124693426,0.916496194517778,4.425804558202152,2001 Q4,QLD
18,2.512162561750004,0.7892502183641291,4.326372074736721,2002 Q1,QLD
19,2.30150813940907,0.5256907703548115,4.164743837935718,2002 Q2,QLD
20,2.109215234872798,0.325581526609531,3.961185129913225,2002 Q3,QLD
21,2.0278527110868794,0.2820610918253764,3.8180090159294684,2002 Q4,QLD
22,1.872206379672878,0.11838191521171172,3.673098483645588,2003 Q1,QLD
23,1.6000370196043847,-0.18310181917434368,3.4587172952446132,2003 Q2,QLD
24,1.3947096771253098,-0.3341590199588776,3.153762759881958,2003 Q3,QLD
25,1.4001893622779793,-0.23118411566378103,3.011765736194851,2003 Q4,QLD
26,1.3093606799624427,-0.3088817526635049,2.9423092362548524,2004 Q1,QLD
27,1.031899610576776,-0.6201189390546719,2.7259303986791164,2004 Q2,QLD
28,0.8515173914256258,-0.7079025165331133,2.458010747359086,2004 Q3,QLD
29,0.792845675196294,-0.6896881446204912,2.3347534476945238,2004 Q4,QLD
30,0.5620225747064427,-0.9493061431354021,2.1657316135367934,2005 Q1,QLD
31,0.27247765419160974,-1.2345514415111685,1.8592687261593706,2005 Q2,QLD
32,0.2194044819786325,-1.2006507299620557,1.6320138084192155,2005 Q3,QLD
33,0.3061181343051327,-1.0833818574717775,1.600317366064203,2005 Q4,QLD
34,0.3699473715742586,-1.005872277019819,1.6449992302199705,2006 Q1,QLD
35,0.2646168633512046,-1.069204527178849,1.5924759073858994,2006 Q2,QLD
36,0.19640764463314975,-1.0950363448541096,1.4556187575425887,2006 Q3,QLD
37,0.4136750991960354,-0.8580198449094905,1.5404674200624948,2006 Q4,QLD
38,0.5104674990424134,-0.7420219341757404,1.6098702894403265,2007 Q1,QLD
39,0.498368271396925,-0.6732621002822874,1.6166095549397541,2007 Q2,QLD
40,0.4128580464869538,-0.736746503130815,1.5084103302006588,2007 Q3,QLD
41,0.6076667181963641,-0.5726757310684578,1.6331438050009843,2007 Q4,QLD
42,0.5599364961196069,-0.5703825427883473,1.6378259787768514,2008 Q1,QLD
43,0.47337291458696046,-0.676590843042181,1.5517539196751033,2008 Q2,QLD
44,0.6218090084268634,-0.570344260664867,1.6669269867709489,2008 Q3,QLD
45,0.8424365263961946,-0.4743594898061439,1.9315392558830746,2008 Q4,QLD
46,1.1152890272743787,-0.2758233501996111,2.2711541067128103,2009 Q1,QLD
47,1.1553353494247522,-0.21911674497089537,2.3838882642090153,2009 Q2,QLD
48,1.1398643908077282,-0.2501890154882507,2.448535576867544,2009 Q3,QLD
49,1.1794065993289746,-0.23465611203739914,2.5094148828705576,2009 Q4,QLD
50,1.1928631485693368,-0.2136094622896983,2.546595276320412,2010 Q1,QLD
51,1.1838040140330386,-0.23241479999579062,2.537744547885537,2010 Q2,QLD
52,1.4261496651266272,-0.05485911873811148,2.768280497339509,2010 Q3,QLD
53,1.5881159393000197,0.12534982038330608,2.926681432175747,2010 Q4,QLD
54,1.5892495229816213,0.1727750983670027,2.93949903368933,2011 Q1,QLD
55,1.6424494172538249,0.23405427550755586,3.0075091947573513,2011 Q2,QLD
56,1.9086736599379246,0.3942881134257397,3.2934305691566714,2011 Q3,QLD
57,2.1650429024192865,0.65017511716389,3.5527474745290597,2011 Q4,QLD
58,2.3288301660210493,0.8239538664670858,3.7147131444850876,2012 Q1,QLD
59,2.5287176056675507,1.0420580733861222,3.8934484798063314,2012 Q2,QLD
60,2.6879343849427926,1.1702061052754769,4.092591557827186,2012 Q3,QLD
61,2.9536687822818255,1.418412542987727,4.397262775146745,2012 Q4,QLD
62,3.105863274788457,1.6282844587326315,4.5197068472208155,2013 Q1,QLD
63,3.1842210975750724,1.7590755249043082,4.600790830935887,2013 Q2,QLD
64,3.2775718937965284,1.8665110970023087,4.700670725036469,2013 Q3,QLD
65,3.4255944729888483,1.9673209362841182,4.860303250789949,2013 Q4,QLD
66,3.6578002926631594,2.1698817168137783,5.118491753849475,2014 Q1,QLD
67,3.7834058345995096,2.3132822401893045,5.252705722455707,2014 Q2,QLD
68,3.931443699148102,2.4392726528631656,5.443274778412779,2014 Q3,QLD
69,4.155835247030399,2.6099389867117737,5.681205577125588,2014 Q4,QLD
70,4.247201152276043,2.7597395943140204,5.747791247658643,2015 Q1,QLD
71,4.215736084242932,2.8027568153562252,5.699037091396747,2015 Q2,QLD
72,4.193426998959646,2.7870535233031117,5.672904594043053,2015 Q3,QLD
73,4.2379554603197835,2.8545982572008617,5.699017570804089,2015 Q4,QLD
74,4.248712015560027,2.8934659476820013,5.684663742240827,2016 Q1,QLD
75,4.183530191943813,2.8327711245024543,5.652462272858589,2016 Q2,QLD
76,4.103647353109834,2.7725834143933925,5.563587789722983,2016 Q3,QLD
77,4.113038223713552,2.7946360494613205,5.580202109772988,2016 Q4,QLD
78,4.048777320395941,2.740623735038972,5.530097520261999,2017 Q1,QLD
79,3.9737363534142274,2.6913659159066112,5.433796305896109,2017 Q2,QLD
80,3.9303702648749774,2.661916320156412,5.371802583799572,2017 Q3,QLD
81,3.9521668329357578,2.6776926658742912,5.3749011603673535,2017 Q4,QLD
82,3.918190032967712,2.6304926677368803,5.355762761797327,2018 Q1,QLD
83,3.9271174190695843,2.6482717490853718,5.348257466322834,2018 Q2,QLD
84,3.983500055480774,2.6960991698130723,5.359084157194199,2018 Q3,QLD
85,4.051010505809093,2.7503864890696468,5.414403695319364,2018 Q4,QLD
86,4.056114763035903,2.785659542264811,5.415410439893208,2019 Q1,QLD
87,4.046593142932704,2.7629716421361246,5.418427208391832,2019 Q2,QLD
88,4.050752328585329,2.751936043240521,5.4201309976803085,2019 Q3,QLD
89,4.013797707840262,2.712708323655201,5.373918106189983,2019 Q4,QLD
90,4.051999476760949,2.730541169955385,5.433019759970822,2020 Q1,QLD
91,3.925349430287327,2.5042953136310673,5.41622626241641,2020 Q2,QLD
92,3.7147802266269965,2.2603664938701584,5.285057525799518,2020 Q3,QLD
93,3.457278906668218,1.9685882735364184,5.052322032211794,2020 Q4,QLD
94,3.0852587607740474,1.5411337023114535,4.774410810427844,2021 Q1,QLD
95,2.5676485390407957,0.9514001575337561,4.394361150668115,2021 Q2,QLD
96,2.1294364314410235,0.5579999180797692,3.8691194971098217,2021 Q3,QLD
97,1.8110874626169966,0.34692063109948096,3.461689921640522,2021 Q4,QLD
98,1.3601408137481121,-0.1208222685950956,3.0162605884520524,2022 Q1,QLD
99,1.0379341475275592,-0.3256024041911428,2.521311529332949,2022 Q2,QLD
100,0.793424956180482,-0.47890825696886147,2.1849041291132463,2022 Q3,QLD
101,0.5099214911285133,-0.7346124872162747,1.8650508562036832,2022 Q4,QLD
102,0.1894606786969497,-1.1228485356890914,1.5995815075426179,2023 Q1,QLD
103,0.05115516769898799,-1.1918797373182393,1.2326712139175942,2023 Q2,QLD
104,0.46483154019406436,-0.7989184868504201,1.5723799699872723,2023 Q3,QLD
105,0.5366551439475311,-0.7671997937965803,1.664077007478462,2023 Q4,QLD
106,0.5108273536258459,-0.8504880563122196,1.6877741034566796,2024 Q1,QLD
107,0.4606473688589239,-0.9992024957969502,1.7426652665221423,2024 Q2,QLD
108,0.6070220850808824,-0.9860390076723071,2.0003083180249153,2024 Q3,QLD
109,0.5379553169156671,-1.244152934737841,2.0879404411485534,2024 Q4,QLD
110,0.510408607911358,-1.3807539213590312,2.186782244118053,2025 Q1,QLD
1,5.792176567767749,5.3128767855403085,6.277538439074296,1997 Q4,SA
2,5.948311323406196,5.383515785424502,6.5845107097897495,1998 Q1,SA
3,6.100937434175523,5.461885579596952,6.880843375254428,1998 Q2,SA
4,6.2602471184437425,5.5408514592666185,7.140119326217536,1998 Q3,SA
5,6.410487494468582,5.6249503060160375,7.372164138276946,1998 Q4,SA
6,6.577201375891454,5.721182146326053,7.63569909961157,1999 Q1,SA
7,6.724957466455885,5.806218435376235,7.844153154284868,1999 Q2,SA
8,6.869733719553217,5.882911691113915,8.04315431706644,1999 Q3,SA
9,7.0019400020246385,5.952631497499263,8.233508016359883,1999 Q4,SA
10,7.104824459192459,6.009628693860645,8.355216175329675,2000 Q1,SA
11,7.211662575491019,6.078488286193236,8.472392329117186,2000 Q2,SA
12,7.274055784250843,6.119286393554104,8.553315233757406,2000 Q3,SA
13,7.314960373383516,6.144861028969461,8.552606284867686,2000 Q4,SA
14,7.366446923129027,6.175832472286101,8.611138647141104,2001 Q1,SA
15,7.400441755569485,6.208642375311697,8.65444787991911,2001 Q2,SA
16,7.396253555599042,6.212407622123041,8.607277058865572,2001 Q3,SA
17,7.40609175319474,6.240175824619689,8.615515287225428,2001 Q4,SA
18,7.398619234296955,6.250869434317944,8.619829041602019,2002 Q1,SA
